ticket_id,type,title,required_skills,priority,status,created_at,sla_deadline,sla_remaining_hours,assigned_to,min_tier,progress_pct,estimated_remaining_hours_mean,estimated_remaining_hours_std,confidence,max_assignees,swarming_roles,vip_customer,dependency_group
TK001,incident_critical,本番DBクラスタ完全停止＋データ整合性疑い,database;infra;security,P1,unassigned,2026-03-30 13:29,2026-03-30 17:29,4.3,,L2,0,4.1,2.4,0.52,3,"lead,support,observer",True,DEP_DB
TK002,incident_critical,コアネットワーク障害＋不正アクセス疑い,network;security;cloud,P1,in_progress,2026-03-30 11:07,2026-03-30 15:07,2.0,E049,L2,30,4.0,1.2,0.57,3,"lead,support,observer",False,DEP_NET
TK003,incident_critical,本番Kubernetesクラスタ全ノード異常,cloud;container;monitoring,P1,unassigned,2026-03-30 09:49,2026-03-30 13:49,0.5,,L2,0,2.9,1.2,0.43,3,"lead,support,observer",False,
TK004,incident_critical,決済基盤DB障害＋API全断,database;app_support,P1,unassigned,2026-03-30 09:46,2026-03-30 13:46,0.6,,L2,0,3.7,1.6,0.55,2,"lead,support",True,DEP_DB
TK005,incident_critical,認証基盤(LDAP)応答停止＋DNS連鎖障害,infra;network,P1,unassigned,2026-03-30 12:20,2026-03-30 16:20,2.9,,L2,0,4.0,1.7,0.43,2,"lead,support",True,DEP_NET
TK006,incident_critical,ランサムウェア検知＋封じ込め対応,security;infra,P1,unassigned,2026-03-30 10:53,2026-03-30 14:53,1.7,,L3,0,2.5,1.1,0.45,2,"lead,support",False,
TK007,incident_critical,本番リージョン接続不可,cloud,P1,in_progress,2026-03-30 11:39,2026-03-30 15:39,2.3,E024,L2,24,4.4,1.2,0.31,1,lead,False,
TK008,incident_critical,決済APIタイムアウト—全トランザクション失敗,app_support,P1,in_progress,2026-03-30 10:08,2026-03-30 14:08,0.7,E031,L2,50,3.7,2.1,0.42,1,lead,True,
TK009,incident_high,フィッシングメール報告対応＋database連携対応,security;database,P2,unassigned,2026-03-29 17:12,2026-03-30 05:12,0.5,,L2,0,2.1,1.9,0.56,2,"lead,support",True,DEP_SEC
TK010,incident_high,Terraform state ロック解除＋network連携対応,cloud;network,P2,blocked_vendor,2026-03-30 09:55,2026-03-30 21:55,8.7,E043,L2,43,4.8,1.8,0.58,2,"lead,support",False,DEP_NET
TK011,incident_high,A/Bテスト設定ミス(モデルバージョン)＋monitoring連携対応,ai_ml;monitoring,P2,unassigned,2026-03-30 02:44,2026-03-30 14:44,0.5,,L2,0,2.4,0.9,0.59,2,"lead,support",False,
TK012,incident_high,データドリフト検知アラート＋container連携対応,ai_ml;container,P2,unassigned,2026-03-30 07:29,2026-03-30 19:29,6.1,,L2,0,2.5,1.0,0.56,2,"lead,support",True,
TK013,incident_high,EKSノードグループスケーリング障害＋monitoring連携対応,cloud;monitoring,P2,in_progress,2026-03-30 09:29,2026-03-30 21:29,6.8,E026,L2,39,3.0,0.8,0.53,2,"lead,support",False,
TK014,incident_high,バックアップジョブ失敗＋monitoring連携対応,database;monitoring,P2,unassigned,2026-03-30 12:51,2026-03-31 00:51,11.0,,L2,0,3.4,1.6,0.64,2,"lead,support",False,DEP_DB
TK015,incident_high,Service Mesh サイドカー障害＋cloud連携対応,container;cloud,P2,in_progress,2026-03-30 02:58,2026-03-30 14:58,0.5,E030,L2,51,4.4,1.9,0.69,2,"lead,support",False,
TK016,incident_high,本番アプリサーバーCPU95%超過＋database連携対応,monitoring;database,P2,in_progress,2026-03-29 22:13,2026-03-30 10:13,0.5,E004,L2,21,2.6,1.2,0.5,2,"lead,support",False,DEP_DB
TK017,incident_high,複合障害: infra/monitoring/security,infra;monitoring;security,P2,unassigned,2026-03-29 17:47,2026-03-30 05:47,0.5,,L2,0,5.0,1.0,0.6,2,"lead,support",False,DEP_SEC
TK018,incident_high,複合障害: database/ai_ml/network,database;ai_ml;network,P2,in_progress,2026-03-30 08:24,2026-03-30 20:24,4.5,E009,L3,35,1.9,1.9,0.54,2,"lead,support",True,DEP_NET
TK019,incident_high,顧客向けAPIレスポンス遅延,app_support,P2,unassigned,2026-03-29 23:03,2026-03-30 11:03,0.8,,L2,0,4.9,0.7,0.41,1,lead,False,
TK020,incident_high,Grafana ダッシュボード障害,monitoring,P2,blocked_vendor,2026-03-29 15:20,2026-03-30 03:20,0.5,E016,L3,11,4.2,1.8,0.58,1,lead,True,
TK021,incident_high,本番DB接続プール枯渇,database,P2,in_progress,2026-03-30 00:44,2026-03-30 12:44,0.7,E026,L2,5,4.4,0.7,0.69,1,lead,False,
TK022,incident_high,コンテナイメージ脆弱性検出,container,P2,unassigned,2026-03-30 02:59,2026-03-30 14:59,3.4,,L2,0,3.7,1.9,0.63,1,lead,False,
TK023,incident_high,ハイパーバイザーメモリ不足,infra,P2,in_progress,2026-03-29 17:24,2026-03-30 05:24,0.5,E033,L2,20,3.5,1.5,0.5,1,lead,False,
TK024,incident_high,顧客向けAPIレスポンス遅延,app_support,P2,in_progress,2026-03-30 01:47,2026-03-30 13:47,0.5,E022,L3,43,4.6,1.3,0.55,1,lead,True,
TK025,incident_high,EKSノードグループスケーリング障害,cloud,P2,in_progress,2026-03-30 03:39,2026-03-30 15:39,3.0,E038,L3,46,3.2,1.7,0.43,1,lead,True,
TK026,incident_high,DR環境切替テスト,cloud,P2,blocked_vendor,2026-03-29 21:43,2026-03-30 09:43,0.5,E027,L3,32,3.4,1.0,0.54,1,lead,False,
TK027,incident_high,CI/CDパイプライン失敗,cloud,P2,unassigned,2026-03-29 20:24,2026-03-30 08:24,0.5,,L3,0,2.1,0.8,0.55,1,lead,False,
TK028,incident_high,A/Bテスト設定ミス(モデルバージョン),ai_ml,P2,in_progress,2026-03-30 06:29,2026-03-30 18:29,3.1,E015,L2,28,2.6,1.6,0.44,1,lead,True,
TK029,incident_high,DBクラスタフェイルオーバー,database,P2,blocked_customer,2026-03-30 06:16,2026-03-30 18:16,7.9,E039,L2,11,3.5,1.2,0.53,1,lead,True,
TK030,incident_high,テスト環境DBリストア,database,P2,unassigned,2026-03-29 15:21,2026-03-30 03:21,0.5,,L2,0,3.2,1.4,0.61,1,lead,True,
TK031,incident_high,ストレージI/O遅延,infra,P2,unassigned,2026-03-29 14:08,2026-03-30 02:08,0.5,,L3,0,3.6,1.4,0.63,1,lead,False,
TK032,incident_high,Service Mesh サイドカー障害,container,P2,in_progress,2026-03-29 17:12,2026-03-30 05:12,0.5,E050,L3,8,4.9,0.6,0.63,1,lead,False,
TK033,incident_high,DC空調温度異常検知,infra,P2,blocked_vendor,2026-03-30 11:07,2026-03-30 23:07,8.6,E011,L2,5,3.1,1.4,0.49,1,lead,True,
TK034,incident_mid,DBレプリケーション遅延＋cloud対応,database;cloud,P3,unassigned,2026-03-27 19:19,2026-03-29 19:19,1.0,,L2,0,5.0,0.6,0.45,2,"lead,support",False,DEP_CLOUD
TK035,incident_mid,本番アプリサーバーCPU95%超過＋infra対応,monitoring;infra,P3,unassigned,2026-03-30 00:23,2026-03-32 00:23,34.0,,L2,0,5.6,1.0,0.59,1,lead,False,
