constraint_id,type,category,description,parameter
HC1,hard,demand,各シフトの作業者必要人数を満たす,worker_required
HC2,hard,demand,各シフトの監督者必要人数を満たす,supervisor_required
HC3,hard,supply,作業者の週最大勤務時間を超えない,max_hours_per_week
HC4,hard,supply,監督者の週最大勤務時間を超えない,max_hours_per_week
HC5,hard,availability,作業者の利用不可日には割当しない,unavailable_days
HC6,hard,availability,監督者の利用不可日には割当しない,unavailable_days
HC7,hard,skill,作業者は必要スキルを持つこと,required_skills
HC8,hard,skill,bilingual_requiredのシフトには英語対応可の作業者・監督者のみ,languages
HC9,hard,rest,作業者は夜勤翌日の朝勤禁止（11h休息）,11
HC10,hard,rest,監督者は夜勤翌日の朝勤禁止（12h休息、より厳しい）,12
HC11,hard,pair,禁止ペアは同一シフトに割当しない,pair_constraints
HC12,hard,pair,メンタルペアは2週間で最低2回同一シフト,pair_constraints
SC1,soft,quality,作業者の連続勤務は最大5日まで,5
SC2,soft,fairness,作業者間の勤務時間の偏りを最小化,std_dev
SC3,soft,fairness,監督者間の勤務時間の偏りを最小化,std_dev
SC4,soft,quality,作業者の夜勤は2週間で最大4回,4
SC5,soft,quality,監督者の夜勤は2週間で最大3回,3
SC6,soft,quality,最低勤務時間をなるべく確保,min_hours_per_week
SC7,soft,quality,各日にseniorレベルの作業者を最低1名配置,1
SC8,soft,preference,推奨ペアはなるべく同一シフトに配置,pair_constraints
