ticket_id,type,title,required_skill,priority,status,created_at,sla_deadline,sla_remaining_hours,assigned_to,min_tier,progress_pct,estimated_remaining_hours
TK001,incident_critical,本番DBサーバー応答なし,database,P1,in_progress,2026-03-30 08:15,2026-03-30 12:15,1.5,E017,L3,40,1.0
TK002,incident_critical,決済APIタイムアウト多発,app_support,P1,in_progress,2026-03-30 09:00,2026-03-30 13:00,2.0,E018,L2,20,2.5
TK003,incident_high,社内メールサーバー遅延,infra,P2,in_progress,2026-03-30 07:30,2026-03-30 19:30,5.0,E010,L2,60,1.5
TK004,incident_high,VPN接続断続的に切断,network,P2,in_progress,2026-03-30 08:00,2026-03-30 20:00,6.0,E011,L2,30,3.0
TK005,incident_high,監視アラート大量発報,monitoring,P2,in_progress,2026-03-30 09:30,2026-03-30 21:30,7.5,E013,L2,50,2.0
TK006,incident_mid,経費精算システムログインエラー,app_support,P3,in_progress,2026-03-29 14:00,2026-03-31 14:00,24.0,E009,L1,70,1.0
TK007,incident_mid,プリンター印刷キュー滞留,helpdesk,P3,in_progress,2026-03-29 16:00,2026-03-31 16:00,26.0,E001,L1,80,0.5
TK008,incident_mid,Wi-Fi接続が不安定（3階会議室）,network,P3,in_progress,2026-03-30 10:00,2026-04-01 10:00,44.0,E014,L1,20,3.0
TK009,incident_low,社内ポータルの表示崩れ,app_support,P4,in_progress,2026-03-28 09:00,2026-04-04 09:00,120.0,E003,L1,10,4.0
TK010,incident_low,古いPC入れ替え相談,helpdesk,P4,in_progress,2026-03-27 11:00,2026-04-03 11:00,96.0,E002,L1,50,1.5
TK011,service_request,新規アカウント発行（営業部5名）,helpdesk,P3,in_progress,2026-03-30 09:00,2026-04-01 09:00,43.0,E006,L1,30,2.0
TK012,service_request,開発環境クラウドインスタンス追加,cloud,P3,in_progress,2026-03-29 10:00,2026-03-31 10:00,20.0,E012,L2,60,1.5
TK013,service_request,セキュリティ監査用ログ抽出,security,P3,in_progress,2026-03-30 08:30,2026-04-01 08:30,42.5,E011,L2,40,2.0
TK014,change_standard,ファイアウォールルール変更申請,security,P3,in_progress,2026-03-29 13:00,2026-03-31 13:00,23.0,E019,L3,70,1.0
