customer_id,name,lat,lon,zone,weight_kg,volume_m3,service_minutes,tw_day_pref,tw_start,tw_end,required_vehicle_type,required_driver_cert,priority
C01,フレッシュマート渋谷店,35.658,139.701,tokyo_west,150,1.2,20,any,09:00,17:00,refrigerated,refrigerated,high
C02,コスモス薬局新宿店,35.690,139.700,tokyo_west,80,0.6,15,morning,09:00,12:00,standard,standard,normal
C03,東都化学研究所,35.701,139.753,tokyo_central,200,2.0,30,afternoon,13:00,17:00,standard,dangerous_goods,high
C04,マルイ大田店,35.561,139.716,tokyo_south,120,1.0,15,any,10:00,16:00,standard,standard,normal
C05,北関東ロジ練馬,35.735,139.653,tokyo_north,600,4.5,25,morning,08:00,12:00,standard,standard,normal
C06,クール配送世田谷,35.646,139.653,tokyo_west,400,2.8,20,any,09:00,18:00,refrigerated,refrigerated,normal
C07,ラボ東立川,35.694,139.414,tokyo_west,180,1.5,30,afternoon,13:00,16:00,standard,dangerous_goods,high
C08,ドラッグトップ八王子,35.656,139.324,tokyo_west,90,0.7,15,any,10:00,17:00,standard,standard,low
C09,生協市川,35.721,139.931,chiba_west,500,4.0,25,morning,08:30,12:00,standard,standard,normal
C10,冷凍食品千葉中央,35.604,140.124,chiba_central,700,5.5,30,morning,08:00,11:30,refrigerated,refrigerated,high
C11,木更津ターミナル,35.379,139.912,chiba_south,900,6.5,35,any,09:00,17:00,standard,standard,normal
C12,茂原物流,35.428,140.291,chiba_east,800,6.0,35,afternoon,13:00,17:00,standard,standard,normal
C13,船橋冷蔵,35.695,139.982,chiba_west,450,3.2,20,any,09:00,16:00,refrigerated,refrigerated,normal
C14,成田医薬,35.776,140.318,chiba_east,150,1.2,25,morning,09:00,12:00,standard,dangerous_goods,high
C15,さいたま新都心,35.894,139.631,saitama_south,550,4.2,25,any,09:00,17:00,standard,standard,normal
C16,川口物流センター,35.808,139.711,saitama_south,700,5.0,25,morning,08:00,12:00,standard,standard,high
C17,所沢冷凍倉庫,35.800,139.469,saitama_west,600,4.5,25,any,09:00,16:00,refrigerated,refrigerated,normal
C18,熊谷化学工業,36.147,139.389,saitama_north,250,2.0,30,afternoon,13:00,17:00,standard,dangerous_goods,high
C19,春日部ドラッグ,35.975,139.752,saitama_east,100,0.8,15,any,09:00,17:00,standard,standard,low
C20,越谷冷蔵センター,35.891,139.791,saitama_east,800,6.0,30,morning,08:00,12:00,refrigerated,refrigerated,normal
C21,横浜港物流,35.450,139.640,yokohama_central,1100,7.5,35,any,09:00,17:00,standard,standard,normal
C22,川崎化学,35.531,139.703,kawasaki,300,2.2,30,afternoon,13:00,17:00,standard,dangerous_goods,high
C23,みなとみらい医療,35.457,139.631,yokohama_central,120,1.0,25,morning,09:00,12:00,standard,dangerous_goods,high
C24,鎌倉フレッシュ,35.319,139.550,yokohama_west,350,2.5,20,any,10:00,16:00,refrigerated,refrigerated,normal
C25,藤沢物流,35.339,139.490,yokohama_west,650,4.8,25,morning,08:30,12:00,standard,standard,normal
C26,相模原マート,35.574,139.373,yokohama_west,500,3.8,20,any,09:00,17:00,standard,standard,normal
C27,横須賀冷凍,35.282,139.667,yokohama_south,550,4.0,25,any,09:00,16:00,refrigerated,refrigerated,normal
C28,厚木研究所,35.441,139.363,yokohama_west,180,1.5,30,afternoon,13:00,16:00,standard,dangerous_goods,high
C29,小田原物流,35.256,139.159,yokohama_west,450,3.3,20,any,10:00,16:00,standard,standard,normal
C30,町田ストア,35.546,139.447,tokyo_west,300,2.2,15,any,09:00,17:00,standard,standard,low
